"こどものけんかのとき、やめなさい！ ３もじ","Cut it out!","Knock it off!","Stop it!"
"彼は食べる物にうるさい","He is particular about food.","He is picky about food.",""
"彼の正式な肩書はＣＥＯです。","His formal title is CEO.","",""
"日本は年功序列のシステムです。","Japan has a seniority-based system.","",""
"何様のつもり？(きつい)　よくそんなことできるね","Who do you think you are?","How dare you do that?",""
"私は、遅刻の言い訳をした。","I made an excuse for being late.","",""
"彼が間違っているのだということを納得させることができなかった。","I couldn't convince him that he was wrong.","",""
"足がむくんでいます","My feet are swollen.","",""
"子供をそだてています。トマトをそだてています。","I'm raising kids. I'm growing tomatoes.","",""
"理由をきかれて、ただなんとなくとこたえるとき","Just because.","No particular reason.",""
"私たちはなんとか合意できた","We managed to reach an agreement.","",""
"手編みのセーターだよ。","This is a hand-knitted sweater.","",""
"私は直感的に感じた。大谷翔平は本物だ。","I felt intuitively that Shohei Ohtani was the real deal.","",""
"妻は家事をしています。","My wife does the housework.","",""
"彼が即興でやってるのは明らかだよね。大分苦しんでいるよ(ポジティブにトライしている)","He's winging it obviously. He is struggling.","",""
"その書類、明日提出しなければならないのですよ。提出を２つの表現で","You have to hand in the papers tomorrow.","You have to submit the papers tomorrow.",""
"このクラシックカーは維持費がかかる","This classic car is expensive to maintain.","",""
"このアイデアは、次の会議まで保留にしましょう。","Let's put this idea on hold until the next meeting.","",""
"私の立場になってみて下さい。","Please put yourself in my shoes.","",""
"この荷物を機内に持ち込むと、かさばる","This bag is too bulky to bring on board.","",""
"レストランでは、たくさんの子どもたちが走り回っていました","There were many kids running wild at the restaurant.","",""
"どこが痛いのですか？","Where does it hurt?","",""
"私は入院しないといけませんか？","Do I need to be hospitalized?","Do I need to stay in the hospital?",""
"鼻が詰まるんです。","My nose is stuffy.","I have a stuffy nose.",""
"プライベートな生活まで干渉しないで！","Don't interfere in my private life.","",""
"ふざけたこといわないでよ","Don't be silly.","Don't be ridiculous.",""
"わたしはしらふです。","I am sober.","",""
"創業者","founder","",""
"東大に受かった","I got into Todai.","",""
"大量絶滅が生物多様性を台無しにする","Mass extinction ruins biodiversity.","",""
"顔の特徴、台所の調理器具","facial feature, utensil","",""
"資料を会議で配る 　２つの表現","hand out the documents","distribute the documents",""
"進捗おしえて","Keep me posted.","Let me know how it's going.",""
"りょうはいつも口答えする","Ryo always talks back to me.","",""
"急用が入ったのです。","Something urgent came up.","",""
"悪化する前に芽を摘んでおきましょう","Let's nip it in the bud before it gets worse.","",""
"子供の面倒をみる義務がある(義務をカジュアルと、裁判所などの言い方両方で)","I have an obligation to look after my children.","I have a duty to look after my children.",""
"私は予定があります。私は計画があります","I have plans. I have a plan.","",""
"気のせいですを２通り","It's just in your head.","It's just your imagination.",""
"今回は見逃す(スライドさせる)けど、もうやらないでね。","I'm gonna let it slide this time, but don't do that again.","",""
"とりあえずコーラで。飲食の「とりあえず」　とりあえず注文は以上で。","I'll take a coke for now.","That's it for now.",""
"妻は僕にそこに行かないように説得した","My wife convinced me not to go there.","My wife persuaded me not to go there.",""
"そのボトルはそこに穴があいていて、水がもれるよ。","The bottle has a hole in the bottom, so water leaks out.","",""
"アメリカがロシアとウクライナの紛争を仲裁した。","America mediated the conflict between Russia and Ukraine.","America mediated the dispute between Russia and Ukraine.",""
"私はファイルをアルファベット順に整理した。","I arranged the files in alphabetical order.","",""
"未来は予測できないので、締め切りに間に合わせるためにいますぐとりかかります。","The future is unpredictable, so I get started right away to meet the deadline.","",""
"ドライブいこうよ？そんなきぶんじゃない","Why don't we go for a drive?","I'm not in the mood.",""
"私は、外科医になりたいです。","I would like to be a surgeon.","I want to be a surgeon.",""
"どのチーム応援してる？","Which team are you rooting for?","Which team do you support?",""
"あなたを傷つけるつもりはなかった","I didn't mean to hurt your feelings.","I didn't mean to hurt you.",""
"経費として使う","use this money as expenses","",""
"電車で化粧をしている女性をみた","I saw a woman putting on makeup on the train.","",""
"感染した人々、計画停電、放置された家","infected people, scheduled blackout, abandoned house","",""
"大げさですね","You're exaggerating.","You're being dramatic.",""
"私はメタ認知という言葉を誤用した。","I misused the word metacognition.","",""
"なつかしいなー。この歌はアメリカ生活を思い出す、あの頃が懐かしい","That brings back memories.","This song reminds me of life in America. I miss those days.",""
"あなたはそれをどううけとめたの？","How did you take it?","",""
"あなたの英語学習に対する情熱は感動的です。","Your passion for learning English is inspiring.","",""
"当然の結果だね２つ","That's to be expected.","It's a natural consequence.",""
"そんな年にみえません。","You don't look your age.","",""
"彼はいいかげんです。","He is unreliable.","He is irresponsible.",""
"つけあわせはなんですか？レストランで。","What comes with this?","What sides come with this?",""
"このスマホはコスパがよい","This smartphone is cost-effective.","This smartphone is good value for money.",""
"ちょっと！適当なこと言わないで！","Come on, don't just say whatever!","Don't just say random things!",""
"あたりまえとおもわないで","Don't take it for granted.","",""
"永久に帰国するの？","Are you moving back for good?","",""
"昇進しました。だから、昇給しました。","I got promoted, so I got a raise.","",""
"彼は(行動が)だらしない。(見た目が)だらしない(a が必要)","He is lazy. He is a slob.","",""
"彼女ははずかしそうにわらった","She smiled shyly.","",""
"基本に忠実に！","Stick to the basics.","",""
"あなたを責めているんじゃありません。","I'm not blaming you.","",""
"彼女は思いやりがある","She is thoughtful.","She is considerate.",""
"今日はぜんぜんはかどらない。","I'm not productive today.","I'm not getting anything done today.",""
